time_s,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
0.000000000,-0.211359664,0.500463952,-1.429445645,2.313491809,1.527711938,-0.011842184
0.002000000,-0.211395078,0.500487588,-1.426375796,2.313936074,1.527976341,-0.007577475
0.004000000,-0.211411014,0.500495840,-1.423914704,2.315892872,1.528160089,-0.004848126
0.006000000,-0.211412348,0.500492666,-1.422077213,2.319101154,1.528205443,-0.003101421
0.008000000,-0.211403125,0.500481264,-1.420873117,2.323248441,1.528112897,-0.001983627
0.010000000,-0.211386309,0.500463968,-1.420304850,2.327999840,1.527923584,-0.001268357
0.012000000,-0.211363952,0.500442396,-1.420365965,2.333025084,1.527694468,-0.000810734
0.014000000,-0.211337492,0.500417676,-1.421040283,2.338021766,1.527477067,-0.000518050
0.016000000,-0.211307988,0.500390640,-1.422301672,2.342733543,1.527305079,-0.000330994
0.018000000,-0.211276266,0.500361936,-1.424114376,2.346962629,1.527191350,-0.000211639
0.020000000,-0.211242987,0.500332082,-1.426433843,2.350576409,1.527131624,-0.000135764
0.022000000,-0.211208684,0.500301495,-1.429207973,2.353508445,1.527111506,-0.000087951
0.024000000,-0.211173797,0.500270514,-1.432378665,2.355754498,1.527113532,-0.000058459
0.026000000,-0.211138721,0.500239443,-1.435883567,2.357364435,1.527122443,-0.000041248
0.028000000,-0.211103841,0.500208576,-1.439657929,2.358431083,1.527127933,-0.000032701
0.030000000,-0.211069564,0.500178223,-1.443636443,2.359077178,1.527125142,0.000030781
0.032000000,-0.211037053,0.500149202,-1.447754671,2.359449763,1.527111760,-0.014770384
0.034000000,-0.211004269,0.500120092,-1.451951843,2.359669211,1.527097777,-0.009452338
0.036000000,-0.210974005,0.500092986,-1.456170886,2.359881995,1.527076401,-0.006048822
0.038000000,-0.210946259,0.500067821,-1.460359768,2.360200788,1.527053254,-0.003870607
0.040000000,-0.210920751,0.500044420,-1.464471147,2.360712245,1.527033332,-0.002476587
0.042000000,-0.210897244,0.500022585,-1.468463520,2.361471212,1.527017951,-0.001584459
0.044000000,-0.210875689,0.500002276,-1.472302078,2.362498737,1.527004921,-0.001013554
0.046000000,-0.210856353,0.499983655,-1.475958687,2.363783888,1.526989835,-0.000648249
0.048000000,-0.210839522,0.499966965,-1.479411183,2.365288038,1.526970001,-0.000414551
0.050000000,-0.210825268,0.499952268,-1.482642767,2.366951045,1.526945509,-0.000265121
0.052000000,-0.210813506,0.499938232,-1.485640074,2.368698495,1.526918180,-0.000169690
0.054000000,-0.210803801,0.499912235,-1.488394197,2.370455294,1.526894773,-0.000108929
0.056000000,-0.210794856,0.499881965,-1.490915163,2.372137586,1.526882492,-0.000070539
0.058000000,-0.210785769,0.499863751,-1.493181694,2.373653480,1.526869691,-0.000046726
0.060000000,-0.210777970,0.499841817,-1.495193532,2.374963537,1.526850750,-0.000032663
0.062000000,-0.210772206,0.499818012,-1.496970002,2.376028148,1.526829723,-0.000025500
0.064000000,-0.210768124,0.499805357,-1.498497984,2.376803180,1.526802961,0.000023474
0.066000000,-0.210767332,0.499797285,-1.499786995,2.377306079,1.526774195,-0.014731582
0.068000000,-0.210767858,0.499791760,-1.500844347,2.377527008,1.526753664,-0.009427701
0.070000000,-0.210771972,0.499789929,-1.501677584,2.377507234,1.526735244,-0.006033203
0.072000000,-0.210778991,0.499790878,-1.502295169,2.377285914,1.526725427,-0.003860714
0.074000000,-0.210788220,0.499793902,-1.502706807,2.376910669,1.526726959,-0.002470316
0.076000000,-0.210799021,0.499798368,-1.502923777,2.376433405,1.526738375,-0.001580464
0.078000000,-0.210810927,0.499803827,-1.502959012,2.375906251,1.526755313,-0.001010977
0.080000000,-0.210823609,0.499809972,-1.502827091,2.375377986,1.526772658,-0.000646545
0.082000000,-0.210836831,0.499816584,-1.502544158,2.374891122,1.526786271,-0.000413385
0.084000000,-0.210850410,0.499823502,-1.502127772,2.374479784,1.526793852,-0.000264300
0.086000000,-0.210864192,0.499830594,-1.501596694,2.374168473,1.526794988,-0.000169119
0.088000000,-0.210878085,0.499837752,-1.500970649,2.373971697,1.526790194,-0.000108595
0.090000000,-0.210892161,0.499845038,-1.500269950,2.373894364,1.526780488,-0.000070509
0.092000000,-0.210906325,0.499852407,-1.499514998,2.373932842,1.526768501,-0.000047191
0.094000000,-0.210920351,0.499859676,-1.498726021,2.374076628,1.526756729,-0.000033949
0.096000000,-0.210934023,0.499866674,-1.497922743,2.374310275,1.526746448,-0.000028004
0.098000000,-0.210947161,0.499873261,-1.497124046,2.374615500,1.526737714,0.000027760
0.100000000,-0.210960327,0.499879794,-1.496347309,2.374981432,1.526730563,-0.014672877
0.102000000,-0.210970834,0.499884372,-1.495609304,2.375368833,1.526728981,-0.009389847
0.105000000,-0.210985888,0.499890717,-1.494606677,2.375984114,1.526713083,-0.004806516
0.106000000,-0.210990577,0.499892566,-1.494306609,2.376192602,1.526705750,-0.003844771
0.108000000,-0.210999304,0.499895765,-1.493765720,2.376609386,1.526690251,-0.002459869
0.110000000,-0.211007053,0.499898210,-1.493311253,2.377023802,1.526675125,-0.001573557
0.112000000,-0.211013785,0.499899870,-1.492950555,2.377436985,1.526661026,-0.001006363
0.114000000,-0.211019527,0.499900767,-1.492689233,2.377853730,1.526647763,-0.000643435
0.116000000,-0.211024332,0.499900943,-1.492531244,2.378281664,1.526634796,-0.000411282
0.118000000,-0.211028259,0.499900445,-1.492479017,2.378730253,1.526621584,-0.000262897
0.120000000,-0.211031359,0.499899313,-1.492533588,2.379209742,1.526607749,-0.000168237
0.122000000,-0.211033678,0.499897581,-1.492694754,2.379730121,1.526593097,-0.000108141
0.124000000,-0.211035252,0.499895277,-1.492961222,2.380300205,1.526577568,-0.000070452
0.126000000,-0.211036118,0.499892430,-1.493330751,2.380926879,1.526561160,-0.000047553
0.128000000,-0.211036316,0.499889069,-1.493800278,2.381614563,1.526543884,-0.000034792
0.130000000,-0.211035886,0.499885228,-1.494366026,2.382364921,1.526525740,-0.000029431
0.132000000,-0.211036967,0.499882820,-1.495023368,2.383187328,1.526499600,-0.018265808
0.134000000,-0.211033389,0.499876159,-1.495767681,2.384052011,1.526490687,-0.011689316
0.136000000,-0.211030755,0.499870731,-1.496593591,2.384969006,1.526471604,-0.007480358
0.138000000,-0.211028180,0.499865258,-1.497495521,2.385930765,1.526447193,-0.004786641
0.140000000,-0.211025579,0.499859767,-1.498467170,2.386927836,1.526420975,-0.003062683
0.142000000,-0.211022795,0.499854139,-1.499502000,2.387950268,1.526395662,-0.001959381
0.144000000,-0.211019760,0.499848320,-1.500593278,2.388988109,1.526372279,-0.001253311
0.146000000,-0.211016493,0.499842325,-1.501734120,2.390031945,1.526350549,-0.000801491
0.148000000,-0.211013058,0.499836204,-1.502917526,2.391073367,1.526329610,-0.000512424
0.150000000,-0.211009537,0.499830023,-1.504136435,2.392105329,1.526308609,-0.000327567
0.152000000,-0.211006012,0.499823845,-1.505383781,2.393122367,1.526287051,-0.000209485
0.154000000,-0.211002523,0.499817702,-1.506652541,2.394120682,1.526265028,-0.000134263
0.156000000,-0.210999088,0.499811609,-1.507935845,2.395098128,1.526242788,-0.000086669
0.158000000,-0.210995757,0.499805602,-1.509227073,2.396054053,1.526220449,-0.000057073
0.160000000,-0.210992595,0.499799730,-1.510519920,2.396989078,1.526198079,-0.000039485
0.162000000,-0.210989668,0.499794045,-1.511808459,2.397904827,1.526175765,-0.000030291
0.164000000,-0.210987030,0.499788589,-1.513087203,2.398803613,1.526153620,-0.000027397
0.166000000,-0.210986820,0.499785281,-1.514350938,2.399698672,1.526124655,-0.018168778
0.168000000,-0.210982839,0.499778398,-1.515595471,2.400566802,1.526113624,-0.011627310
0.170000000,-0.210980651,0.499773412,-1.516816967,2.401426841,1.526094148,-0.007440763
0.172000000,-0.210979301,0.499768979,-1.518012307,2.402281493,1.526070678,-0.004761383
0.174000000,-0.210978644,0.499765083,-1.519178620,2.403132329,1.526046290,-0.003046594
0.176000000,-0.210978457,0.499761553,-1.520313696,2.403980461,1.526023284,-0.001949151
0.178000000,-0.210978599,0.499758277,-1.521415973,2.404826439,1.526002369,-0.001246822
0.180000000,-0.210979008,0.499755207,-1.522484493,2.405670282,1.525983057,-0.000797385
0.182000000,-0.210979667,0.499752332,-1.523518857,2.406511584,1.525964361,-0.000509830
0.184000000,-0.210980579,0.499749653,-1.524519164,2.407349652,1.525945360,-0.000325927
